id,name,alternativeNames,municipio,departamentoId,departamento,lat,lon
"05736",Segovia - Antioquia,,Segovia,5,Antioquia,7.25,-74.75
"68820",Tona - Santander,,Tona,68,Santander,7.25,-72.9
"54125",Cácota - Norte de Santander,,Cácota,54,Norte de Santander,7.25,-72.5833333
"68615",Rio Negro - Santander,,Rio Negro,68,Santander,7.2191667,-73.1558333
"54743",Silos - Norte de Santander,,Silos,54,Norte de Santander,7.2,-72.75
"05040",Anorí - Antioquia,,Anorí,5,Antioquia,7.1666667,-75.0833333
"54174",Chitagá - Norte de Santander,,Chitagá,54,Norte de Santander,7.1666667,-72.5833333
"68001",Bucaramanga - Santander,,Bucaramanga,68,Santander,7.1297222,-73.1258333
"05107",Briceño - Antioquia,,Briceño,5,Antioquia,7.1122222,-75.5541667
"81001",Arauca - Arauca,,Arauca,81,Arauca,7.0902778,-70.7616667
"05134",Campamento - Antioquia,,Campamento,5,Antioquia,7.0833333,-75.25
"68092",Betulia - Santander,,Betulia,68,Santander,7.0833333,-73.3333333
"68306",Girón - Santander,,Girón,68,Santander,7.0708333,-73.1730556
"68081",Barrancabermeja - Santander,,Barrancabermeja,68,Santander,7.0652778,-73.8547222
"68276",Floridablanca - Santander,,Floridablanca,68,Santander,7.0647222,-73.0897222
"15223",Cubará - Boyacá,,Cubará,15,Boyacá,7.0411111,-72.0608333
"05893",Yondó (Casabe) - Antioquia,,Yondó (Casabe),5,Antioquia,7.0077778,-73.9141667
"27372",Juradó - Chocó,,Juradó,27,Chocó,7,-77.6666667
"05234",Dabeiba - Antioquia,,Dabeiba,5,Antioquia,7,-76.25
"05543",Peque - Antioquia,,Peque,5,Antioquia,7,-75.8333333
"05819",Toledo - Antioquia,,Toledo,5,Antioquia,7,-75.7
"05887",Yarumal - Antioquia,,Yarumal,5,Antioquia,7,-75.5
"05031",Amalfi - Antioquia,,Amalfi,5,Antioquia,7,-74.9166667
"05604",Remedios - Antioquia,,Remedios,5,Antioquia,7,-74.4166667
"68318",Guaca - Santander,,Guaca,68,Santander,7,-72.7666667
"68162",Cerrito - Santander,,Cerrito,68,Santander,7,-72.5833333
"68705",Santa Bárbara - Santander,,Santa Bárbara,68,Santander,6.9927778,-72.9102778
"81736",Saravena - Arauca,,Saravena,81,Arauca,6.9205556,-71.8533333
"05628",Sabanalarga - Antioquia,,Sabanalarga,5,Antioquia,6.9166667,-75.8
"68418",Los Santos - Santander,,Los Santos,68,Santander,6.9166667,-73.0833333
"68207",Concepción - Santander,,Concepción,68,Santander,6.9166667,-72.5
"05842",Uramita - Antioquia,,Uramita,5,Antioquia,6.8994444,-76.1741667
"68689",San Vicente del Chucurí - Santander,,San Vicente del Chucurí,68,Santander,6.8836111,-73.4138889
"05038",Angostura - Antioquia,,Angostura,5,Antioquia,6.8666667,-75.3333333
"05658",San José de Montaña - Antioquia,,San José de Montaña,5,Antioquia,6.8502778,-75.6833333
"05885",Yalí - Antioquia,,Yalí,5,Antioquia,6.8333333,-74.75
"68895",Zapatoca - Santander,,Zapatoca,68,Santander,6.8333333,-73.25
"68051",Aratoca - Santander,,Aratoca,68,Santander,6.8333333,-72.9666667
"68160",Cepita - Santander,,Cepita,68,Santander,6.8333333,-72.9166667
"68669",San Andrés - Santander,,San Andrés,68,Santander,6.8333333,-72.75
